Institusi,Halaman Terdeface,Attacker,H,M,R,Lokasi,Kejadian,Arsip,OS
,"dpmd.bonebolangokab.go.id/34.htm
							",Anonymous09,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34399464,
,"dinastph.sumutprov.go.id/34.htm
							",prizeHdru,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/33107226,
,"sitara.pta-babel.go.id
							",ONE HAT CYBER TEAM,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34717278,
,"monpeg.pta-babel.go.id
							",ONE HAT CYBER TEAM,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34717277,
,"aco.pta-babel.go.id
							",ONE HAT CYBER TEAM,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34717276,
,"sipp.pn-simpangtigaredelong.go...
							",r#0t_p4c$m4n,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34390746,
,"sipp.pa-sragen.go.id/r0t.txt
							",r#0t_p4c$m4n,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34390745,
,"perpustakaan.pn-kuningan.go.id...
							",Mr.Rm19,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34409531,
,"latihan.pn-kuningan.go.id/miri...
							",Mr.Rm19,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34409530,
,"aula.pn-kuningan.go.id/miris.html
							",Mr.Rm19,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34409529,
,"ptun-palangkaraya.go.id/img/
							",Mr.Rm19,,,R,"b'<td><img alt=""Japan"" src=""/images/cflags/png/jp.png"" title=""Japan""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34409454,
,"himbauan.pn-raha.go.id
							",Mayat1337,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34409106,
,"tilang.pn-raha.go.id
							",Mayat1337,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34409105,
,"pustaka.pn-calang.go.id/reposi...
							",SeRaVo BlackHaT,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34443721,
,"perpustakaan.pn-tilamuta.go.id...
							",SeRaVo BlackHaT,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34443720,
,"pustaka.pa-sengeti.go.id/repos...
							",SeRaVo BlackHaT,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34443714,
,"perpustakaan.pn-amlapura.go.id...
							",SeRaVo BlackHaT,,M,R,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34443713,
,"disdik.barrukab.go.id/wp-content
							",LahBodoAmat,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-03-01,www.zone-h.org/mirror/id/34352482,
,"ptun-bandarlampung.go.id/readm...
							",Mr.Z,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-28,www.zone-h.org/mirror/id/34730183,
,"dpks.sumenepkab.go.id
							",PI3RROT,H,M,R,"b'<td><img alt=""United States"" src=""/images/cflags/png/us.png"" title=""United States""/></td>'",2021-02-28,www.zone-h.org/mirror/id/34729817,
,"kec-manding.sumenepkab.go.id/i...
							",PI3RROT,,M,R,"b'<td><img alt=""United States"" src=""/images/cflags/png/us.png"" title=""United States""/></td>'",2021-02-28,www.zone-h.org/mirror/id/34729818,
,"sumenepkab.go.id/info.php
							",PI3RROT,,M,R,"b'<td><img alt=""United States"" src=""/images/cflags/png/us.png"" title=""United States""/></td>'",2021-02-28,www.zone-h.org/mirror/id/34729816,
,"diskan.sumenepkab.go.id
							",PI3RROT,H,,R,"b'<td><img alt=""United States"" src=""/images/cflags/png/us.png"" title=""United States""/></td>'",2021-02-26,www.zone-h.org/mirror/id/34724024,
,"dpr-papua.go.id/vz.txt
							",aDriv4,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-26,www.zone-h.org/mirror/id/34723821,
,"inhukab.go.id/readme.txt
							",KAKEGURAI,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-26,www.zone-h.org/mirror/id/34723650,
,"kupangkota.go.id
							",Evoush666Crew,H,,,"b'<td><img alt=""United States"" src=""/images/cflags/png/us.png"" title=""United States""/></td>'",2021-02-26,www.zone-h.org/mirror/id/34723444,
,"pa-kediri.go.id/perpustakaan/r...
							",SeRaVo BlackHaT,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-25,www.zone-h.org/mirror/id/34717696,
,"rb.perpusnas.go.id/readme.html
							",Unknown45,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-24,www.zone-h.org/mirror/id/34717727,
,"kerjasama.perpusnas.go.id/read...
							",Unknown45,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-24,www.zone-h.org/mirror/id/34717726,
,"pusbangkol.perpusnas.go.id/rea...
							",Unknown45,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-24,www.zone-h.org/mirror/id/34717725,
,"perpustakaan.kemendagri.go.id
							",Team Ti74N5,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-24,www.zone-h.org/mirror/id/34721354,
,"kpu-karawang.go.id/owh.php
							",./Anon666Txploit,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-24,www.zone-h.org/mirror/id/34720396,
,"petik.litbang.pertanian.go.id/...
							",FRK48,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-24,www.zone-h.org/mirror/id/34719358,
,"pn-kualatungkal.go.id/px.php
							",./ShiroGans,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-22,www.zone-h.org/mirror/id/34718336,
,"www.pn-tilamuta.go.id/perpusta...
							",Mr.Kro0oz.305,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-22,www.zone-h.org/mirror/id/34669855,
,"www.pn-semarapura.go.id/perpus...
							",Mr.Kro0oz.305,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-22,www.zone-h.org/mirror/id/34669851,
,"www.pn-buntok.go.id/perpustaka...
							",Mr.Kro0oz.305,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-22,www.zone-h.org/mirror/id/34669847,
,"perpustakaan.pa-dompu.go.id//r...
							",Mr.Kro0oz.305,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-22,www.zone-h.org/mirror/id/34669846,
,"pa-dompu.go.id/perpustakaan/re...
							",Mr.Kro0oz.305,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-22,www.zone-h.org/mirror/id/34669842,
,"www.pa-pasirpengaraian.go.id/0...
							",FRK48,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34648608,
,"simpelbadak.pandeglangkab.go.i...
							",Xyp3r2667,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585413,
,"siputeri.pandeglangkab.go.id/r...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585390,
,"pandeglangkecamatan.pandeglang...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585392,
,"jdihukum.pandeglangkab.go.id/r...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585394,
,"sinangkis.pandeglangkab.go.id/...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585396,
,"dispora.pandeglangkab.go.id/ro...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585397,
,"disbudpar.pandeglangkab.go.id/...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585393,
,"keccimanuk.pandeglangkab.go.id...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585391,
,"bojongkecamatan.pandeglangkab....
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585389,
,"jiputkecamatan.pandeglangkab.g...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585388,
,"simrenja.pandeglangkab.go.id/i...
							",Xyp3r2667,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-20,www.zone-h.org/mirror/id/34585384,
,"pn-padangpanjang.go.id/ownd.htm
							",No_Identity,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-19,www.zone-h.org/mirror/id/34579918,
,"sinangkisbappeda.pandeglangkab...
							",Xyp3r2667,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-19,www.zone-h.org/mirror/id/34579833,
,"dishut.pandeglangkab.go.id/roo...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34578450,
,"dprd.pandeglangkab.go.id/root.php
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34578439,
,"distanak.pandeglangkab.go.id/r...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34578442,
,"dinaspertanian.pandeglangkab.g...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34578441,
,"dinasperikanan.pandeglangkab.g...
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34578440,
,"kpad.pandeglangkab.go.id/root.php
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34578216,
,"www.dpmptsp.pandeglangkab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34570817,
,"bkd.pandeglangkab.go.id
							",Black_X12,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-18,www.zone-h.org/mirror/id/34570814,
,"jurnal.madiunkab.go.id/public/...
							",Mr.Kro0oz.305,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-15,www.zone-h.org/mirror/id/34531969,
,"majalah.lapan.go.id/public/sit...
							",Mr.Kro0oz.305,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-15,www.zone-h.org/mirror/id/34531968,
,"trawas.mojokertokab.go.id/read...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532068,
,"puri.mojokertokab.go.id/readme...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532060,
,"rsudsoekandar.mojokertokab.go....
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532062,
,"kutorejo.mojokertokab.go.id/re...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532053,
,"puskesmas-pungging.mojokertoka...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532061,
,"pungging.mojokertokab.go.id/re...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532059,
,"mojosari.mojokertokab.go.id/re...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532055,
,"organisasi.mojokertokab.go.id/...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532056,
,"mojoanyar.mojokertokab.go.id/r...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532054,
,"jatirejo.mojokertokab.go.id/re...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532050,
,"gedeg.mojokertokab.go.id/readm...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532047,
,"dpmptsp.mojokertokab.go.id/rea...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532043,
,"bagiantatausaha.mojokertokab.g...
							",TangerangXploit Team,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532028,
,"bkpp.mojokertokab.go.id/readme...
							",TangerangXploit Team,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34532029,
,"pn-kendal.go.id/Sans.php
							",1K4lL_*,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-11,www.zone-h.org/mirror/id/34531615,
,"manselkab.go.id/root.php
							",Black_X12,,,,"b'<td><img alt=""Malaysia"" src=""/images/cflags/png/my.png"" title=""Malaysia""/></td>'",2021-02-10,www.zone-h.org/mirror/id/34531285,
,"admin.distan.balangankab.go.id...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-09,www.zone-h.org/mirror/id/34529101,
,"spj.distan.balangankab.go.id/r...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-09,www.zone-h.org/mirror/id/34529103,
,"asisten.distan.balangankab.go....
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-09,www.zone-h.org/mirror/id/34529102,
,"distan.balangankab.go.id/read.txt
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-09,www.zone-h.org/mirror/id/34529100,
,"pa-lumajang.go.id/styo.php
							",Cubjrnet7,,,,"b'<td><img alt=""Canada"" src=""/images/cflags/png/ca.png"" title=""Canada""/></td>'",2021-02-07,www.zone-h.org/mirror/id/34526359,
,"perpustakaan.pn-bireuen.go.id/...
							",FRK48,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-07,www.zone-h.org/mirror/id/34526306,
,"www.pn-bengkalis.go.id/1.txt
							",Mr.Rm19,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-06,www.zone-h.org/mirror/id/34516158,
,"dinsos.pandeglangkab.go.id
							",Riyan1337,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-06,www.zone-h.org/mirror/id/34515862,
,"ppid.pandeglangkab.go.id
							",Riyan1337,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-06,www.zone-h.org/mirror/id/34515859,
,"www.pa-fakfak.go.id/Sans.php
							",1K4lL_*,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-05,www.zone-h.org/mirror/id/34514824,
,"pn-fakfak.go.id/Sans.php
							",1K4lL_*,,,R,"b'<td><img alt=""United States"" src=""/images/cflags/png/us.png"" title=""United States""/></td>'",2021-02-05,www.zone-h.org/mirror/id/34514700,
,"diskominfo.palikab.go.id
							",MR.Donut's,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-03,www.zone-h.org/mirror/id/34511868,
,"palikab.go.id
							",MR.Donut's,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-03,www.zone-h.org/mirror/id/34511867,
,"waykanankab.go.id/sk.html
							",Futurez,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-02-02,www.zone-h.org/mirror/id/34509525,
,"pn-nganjuk.go.id/notFound.html
							",1K4lL_*,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-30,www.zone-h.org/mirror/id/34503137,
,"sorongkab.go.id/root.php
							",Black_X12,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-29,www.zone-h.org/mirror/id/34501744,
,"sipatola.padanglawasutarakab.g...
							",ONE HAT CYBER TEAM,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-29,www.zone-h.org/mirror/id/34501433,
,"tangkap.dkp.jatengprov.go.id/h...
							",hell_c0de,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34445987,
,"simina.dkp.jatengprov.go.id/he...
							",hell_c0de,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34445986,
,"simpelaku.cianjurkab.go.id/bc7...
							",BCA-X666X,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34393160,
,"bkd.manadokota.go.id/security/...
							",Xyp3r2667,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34377565,
,"ojsdikdas.kemdikbud.go.id/publ...
							",Simsimi,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34369802,
,"madah.kemdikbud.go.id/public/s...
							",Simsimi,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34369801,
,"kibascenderawasih.kemdikbud.go...
							",Simsimi,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34369800,
,"jurnalmedanmakna.kemdikbud.go....
							",Simsimi,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34369799,
,"jalabahasa.kemdikbud.go.id/pub...
							",Simsimi,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34369798,
,"alayasastra.kemdikbud.go.id/pu...
							",Simsimi,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34369797,
,"majalahvisi.kemdikbud.go.id/pu...
							",Simsimi,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-28,www.zone-h.org/mirror/id/34369796,
,"disdikpora.penajamkab.go.id/xi...
							",Mr.Rm19,,,R,"b'<td><img alt=""Lithuania"" src=""/images/cflags/png/lt.png"" title=""Lithuania""/></td>'",2021-01-26,www.zone-h.org/mirror/id/34494543,
,"korpri.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492921,
,"rapemda.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492916,
,"inspektorat.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492914,
,"bpkad.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492915,
,"dishub.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492911,
,"disdukcapil.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492909,
,"rsud.pringsewukab.go.id/root.php
							",Black_X12,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492895,
,"kesbangpol.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492894,
,"dinkes.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492885,
,"diskominfo.pringsewukab.go.id
							",Black_X12,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492880,
,"pringsewukab.go.id
							",Black_X12,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-25,www.zone-h.org/mirror/id/34492847,
,"www.jdih.sidoarjokab.go.id/gal...
							",Umam1337,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-23,www.zone-h.org/mirror/id/34489286,
,"murungrayakab.go.id/owh.php
							",./Anon666Txploit,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-23,www.zone-h.org/mirror/id/34488331,
,"pa-purwodadi.go.id/read.txt
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-21,www.zone-h.org/mirror/id/34485928,
,"alorkab.go.id/root.php
							",Black_X12,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-19,www.zone-h.org/mirror/id/34482771,
,"dprk-lhokseumawekota.go.id/roo...
							",Black_X12,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-01-18,www.zone-h.org/mirror/id/34480650,
